,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
2365,24370001,Stunning Rare Garden Family Home w/Loft! #10303,8961407,Jamie,Manhattan,Harlem,40.805690000000006,-73.94848,Entire home/apt,450,3,46,2019-09-01,3.27,3,289,2018-07-19
2366,24372235,Newly Renovated Cozy studio in lower east side #9,158969505,Karen,Manhattan,Lower East Side,40.721920000000004,-73.9928,Entire home/apt,150,30,3,2018-12-29,0.2,10,294,2018-06-23
2367,24376945,Harlem Studio,21766565,Paula,Manhattan,Harlem,40.82934,-73.94269,Entire home/apt,110,2,31,2019-07-05,1.83,1,209,2018-04-23
2368,24378358,NYC Time's Square Luxury Pent House Apartment,183989835,Marcus,Manhattan,Midtown,40.76419,-73.97455,Entire home/apt,299,3,28,2019-09-07,1.77,1,296,2018-05-28
2369,24388099,Grand Central Brand New 2-Bedroom Apartment (5R),2269233,Heather,Manhattan,Murray Hill,40.74922,-73.97744,Entire home/apt,120,30,1,2018-08-12,0.08,1,113,2018-08-12
2370,24392338,Amazing East Village Xtra Large Studio Apartment!,160356,Joseph,Manhattan,East Village,40.72361,-73.9847,Entire home/apt,150,1,122,2019-09-10,7.38,4,229,2018-05-06
2371,24408535,Penthouse duplex on Bowery with huge terrace.,408485,Justin,Manhattan,East Village,40.727090000000004,-73.99074,Entire home/apt,695,2,1,2019-06-23,0.37,1,270,2019-06-23
2372,24420139,401 east 60th,165898555,Honey,Manhattan,Upper East Side,40.75972,-73.96021,Entire home/apt,275,30,1,2018-05-24,0.06,3,365,2018-05-24
2373,24428965,Modern & Spacious Apartment in Central Harlem,22460686,Diane & Brice,Manhattan,Harlem,40.81716,-73.94279,Entire home/apt,165,3,42,2019-09-02,2.53,1,211,2018-05-04
2374,24441860,"East 12th street, Lux 1bd in Greenwich Village",22541573,Ken,Manhattan,East Village,40.733990000000006,-73.99002,Entire home/apt,245,30,1,2018-11-05,0.1,78,346,2018-11-05
2375,24441912,"Private basement suite on Striver's Row, Harlem",9949215,Jake,Manhattan,Harlem,40.81667,-73.94225,Entire home/apt,175,6,46,2019-09-08,2.74,1,107,2018-04-29
2376,24465831,New Cozy Quite Studio with Huge Secluded Yard,81712936,Allie,Manhattan,Upper East Side,40.78028,-73.94769000000001,Entire home/apt,150,3,28,2019-08-10,1.77,1,302,2018-05-27
2377,24497080,Corporate Studio Midtown East,61391963,Corporate Housing,Manhattan,Midtown,40.75393,-73.96611999999999,Entire home/apt,125,30,6,2019-07-06,0.36,93,348,2018-04-29
2378,24497152,Stunning Elevator 2 Bedroom Midtown East,61391963,Corporate Housing,Manhattan,Midtown,40.75569,-73.96679,Entire home/apt,150,30,1,2018-06-29,0.07,93,348,2018-06-29
2379,24497202,Brand New apt heart of Manhattan,61391963,Corporate Housing,Manhattan,Kips Bay,40.74471,-73.98026999999999,Entire home/apt,125,30,5,2019-07-27,0.34,93,347,2018-07-01
