,id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date,year,x,y
1916,3461872,Private BR in 3 BR Apt - E. Harlem,5220670,Jonathon,Manhattan,East Harlem,Private room,75,1,3,2015-10-04,0.05,1,0,2014-07-29,2014,-8230964.262449556,4983295.136499934
1917,3462975,Boutique Loft Condo In West Village,17159358,Richard,Manhattan,West Village,Entire home/apt,289,1,7,2015-09-24,0.11,1,0,2014-08-31,2014,-8237753.638193037,4973297.193852128
1918,3463385,Gorgeous room in Manhattan,10698270,Evgenia,Manhattan,Upper East Side,Private room,95,1,210,2019-08-31,3.32,2,233,2014-07-06,2014,-8232668.5638536,4978059.712250459
1919,3463475,☆ PERFECT MANHATTAN LOCATION NEAR SUBWAY & CAFES!☆,1384256,Jenny,Manhattan,Lower East Side,Entire home/apt,197,1,299,2019-08-29,4.88,1,158,2014-09-02,2014,-8236104.996534388,4970852.914539316
1920,3465977,Next to Central Park and Natural Science Museum,1535732,Pablo,Manhattan,Upper West Side,Entire home/apt,500,2,16,2019-07-31,0.45,1,270,2016-10-21,2016,-8235046.348176946,4980648.404390262
1921,3468486,2br with Balcony in East Harlem!,17475146,C,Manhattan,East Harlem,Entire home/apt,70,7,1,2014-07-28,0.02,1,0,2014-07-28,2014,-8230949.790915753,4983487.7877980145
1922,3468942,Luxury Studio Central Park West,17477908,Mat,Manhattan,Upper West Side,Hotel room,199,30,11,2019-04-24,0.18,4,348,2014-10-20,2014,-8234149.113081152,4981737.888880986
1923,3469295,Harlem Renovated Duplex Townhouse ,17479416,Tae,Manhattan,East Harlem,Entire home/apt,299,4,60,2019-08-11,0.97,1,318,2014-08-16,2014,-8230786.151264287,4983506.906073166
1924,3478771,Great Room in Heart of LES,6230230,John,Manhattan,Lower East Side,Private room,69,2,37,2019-07-26,0.59,3,0,2014-07-29,2014,-8235941.356882923,4971014.476640611
1925,3479614,Charming East Village Apartment,3395227,Brian,Manhattan,East Village,Entire home/apt,179,5,72,2016-11-22,1.14,1,0,2014-07-10,2014,-8236274.202160396,4971719.50614574
1926,3485146,"Sun Soaked, NYC Brownstone Apt",6707119,Parnell,Manhattan,Harlem,Entire home/apt,150,1,1,2014-12-30,0.02,1,0,2014-12-30,2014,-8231950.553137984,4984048.115858752
1927,3488989,"Sunny, Quiet Apt. in Manhattan",17568735,William,Manhattan,Harlem,Entire home/apt,135,3,3,2015-09-08,0.05,1,0,2015-01-06,2015,-8231170.203507524,4986767.855264534
1928,3492910,Manhattan Columbia University Courtyard Studio,17266994,Tom,Manhattan,Morningside Heights,Entire home/apt,174,3,100,2019-08-24,1.61,2,319,2014-08-13,2014,-8232796.581268012,4984077.53029393
1929,3496384,Interfaith Retreat Guest Rooms (Om),16677326,Alex And Zeena,Manhattan,Chelsea,Hotel room,85,1,152,2019-08-28,3.47,10,339,2016-02-07,2016,-8237249.360899744,4975502.564049675
1930,3496438,NYC 1BD near Central Park & Shops,17604079,Meghan,Manhattan,Harlem,Entire home/apt,170,1,1,2014-08-05,0.02,1,0,2014-08-05,2014,-8231785.80029161,4983951.04885165
1931,3497198,"Comfy, Cozy, & Creative Apartment",15730873,Jasmine,Manhattan,Washington Heights,Entire home/apt,48,1,5,2018-07-07,0.08,2,246,2014-09-11,2014,-8229638.447314207,4991386.824336981
1932,3499174,"One of a Kind, Penthouse Apartment ",6145540,Edward,Manhattan,Nolita,Entire home/apt,350,4,9,2019-08-07,0.15,1,224,2014-08-18,2014,-8237014.47677417,4971246.543239405
1933,3499251,Classic Upper West Side studio loft,10034987,Izzy,Manhattan,Upper West Side,Entire home/apt,199,3,25,2016-12-31,0.4,1,0,2014-08-02,2014,-8234657.843154077,4980347.016517984
1934,3503946,Times Square Cute Private Room,15718962,Samira,Manhattan,Hell's Kitchen,Private room,110,1,283,2019-09-07,4.52,3,5,2014-07-22,2014,-8237002.231630182,4976641.441068427
1935,3504289,Cheap accommodation in Manhattan,11308483,Nathan,Manhattan,Kips Bay,Private room,80,1,2,2014-07-11,0.03,1,0,2014-07-07,2014,-8235606.285215636,4973886.321317808
1936,3511778,10th St / W Village  Junior Loft,17681072,Brooks,Manhattan,Greenwich Village,Entire home/apt,275,30,12,2016-09-25,0.19,1,358,2014-08-10,2014,-8236985.533706564,4973084.1764525175
1937,3512428,Lovely room in doorman building,17616305,Gabrielle,Manhattan,Harlem,Private room,90,2,134,2019-08-19,2.19,1,41,2014-09-02,2014,-8232165.399755215,4986966.459772179
1938,3517621,Amazing Renovated studio MurrayHill,1475015,Mike,Manhattan,Kips Bay,Entire home/apt,87,30,4,2019-06-30,0.07,52,348,2014-10-09,2014,-8235257.855209452,4974534.255620805
1939,3518682,Beautiful Room in Park-Side Apt,5407403,Marissa,Manhattan,Inwood,Private room,80,2,50,2017-05-21,0.8,1,73,2014-08-04,2014,-8229941.236329164,4991972.628851534
1940,3521162,Studio in the heart of Chelsea,17730490,Ashley,Manhattan,Chelsea,Entire home/apt,175,1,18,2016-05-11,0.3,1,0,2014-09-15,2014,-8237364.019975261,4974437.283127657
1941,3522329,East Village 1 Bedroom,17737666,Allie,Manhattan,East Village,Entire home/apt,140,1,48,2016-01-17,0.78,1,0,2014-08-18,2014,-8236210.750050642,4972797.71209661
1942,3522513,Central Park home away from home,17739111,Christopher,Manhattan,Harlem,Entire home/apt,129,4,17,2019-06-24,0.27,1,42,2014-07-22,2014,-8232223.285890427,4983323.078055497
1943,3522539,"Musician's Loft 1BR w/ Outdoor Space, WiFi, Parks",515946,Jonathan,Manhattan,East Village,Entire home/apt,159,4,47,2019-08-13,0.75,1,95,2014-07-29,2014,-8236484.595997994,4972658.155579866
1944,3526122,West Village Apt w/ Private Roof,4254072,Shawn,Manhattan,West Village,Entire home/apt,249,3,50,2019-08-29,0.81,1,329,2014-08-14,2014,-8238110.973758483,4972630.244515612
1945,3530122,Cozy Harlem Flat!,228012,Kev,Manhattan,Harlem,Entire home/apt,135,5,79,2019-08-26,1.28,1,289,2014-08-17,2014,-8231225.86325292,4985521.888117674
1946,3530517,2 Story Loft!! Tribeca/Soho :-) best neighborhood,17773625,Josie,Manhattan,Tribeca,Entire home/apt,600,3,76,2019-08-18,1.24,1,302,2014-08-27,2014,-8238174.4258682355,4971295.013540882
